# filename	group	title	caption	verified
Screenshot 2026-09-08 at 13.17.17.jpg	Validation	Rater 1 completes the labelling	The first rater's finished screen: all nineteen items reviewed, the sheet exported, and the saved indicator confirming the answers were recorded server-side rather than only in the browser.	Compared value by value with data/labels/labels_rater1.csv. All 19 identical.
PHOTO-2026-09-08-13-15-30.jpg	Validation	Rater 2 completes the labelling	The second rater's finished screen, captured on their own account. Their item_16 count of 4, against Rater 1's 0, is the study's single human disagreement and is discussed in §4.7.	Compared value by value with data/labels/labels_rater2.csv. All 19 identical.
Screenshot 2026-09-08 at 12.20.40.jpg	Validation	The labelling design that was rejected	The first interface asked one rater to read an eighty-three-file codebase and produce a single number. It was abandoned and rebuilt so that each screen carries one judgement.	
Screenshot 2026-09-05 at 08.18.14.jpg	Instrument	The instrument auditing itself	A live audit of this project's own repository: 141 files, 13,136 lines, 86 of them Python. Security 3.14 per kLOC, complexity 3.58, duplication 4.01%, scope drift 19.	
Screenshot 2026-08-31 at 19.39.54.jpg	Instrument	A live audit of an unrelated project	The same instrument watching kya-rails, a codebase outside the study: 43 files, 4,620 lines. Scope drift reads 0.00, the reading the metric is designed to produce when output matches its specification.	
GOV_SIGNAL_REALRUN.jpg	Instrument	A third party runs the instrument	GovSignal, 30 files and 1,923 lines, audited on a different machine and browser from any used in this study. Security 2.26, complexity 4.79, duplication 0.89%, scope drift 4.	
Screenshot 2026-09-05 at 08.30.02.jpg	Adoption	Downloads to 5 September	2,500 all-time installations, 880 in the preceding thirty days and 232 in twenty-four hours, from PyPI's public statistics.	
Screenshot 2026-08-10 at 03.04.16.jpg	Adoption	Downloads to 10 August	1,600 all-time and 268 in thirty days, four weeks earlier. Read against the September capture, installations rose by roughly nine hundred over the interval.	
Screenshot 2026-09-05 at 08.29.53.jpg	Adoption	Which versions people install	Share by release over the quarter: 580 downloads of 0.2.0, 464 of 0.3.0, 358 of 0.1.0 and 207 of 0.4.0. Every published version is in active use.	
PHOTO-2026-09-07-19-53-41.jpg	Superseded	The results table before the errata	The original per-condition output, kept as a record of what the analysis produced before it was corrected. Security density reads 42.05 and 43.67 for claude_code and cursor_agent, and Replit's hallucination mean reads 1.00.	Superseded. Erratum 001 corrects the security figures to 9.65 and 5.93; Erratum 002 corrects the hallucination mean to 1.33. Chapter 4 reports the corrected values.
Screenshot 2026-09-08 at 13.48.17.jpg	Process	The integrity audit	The working session in which the telemetry that contradicted the published security policy, the unused IP capture, and the route detector's false negative were found and removed.	
Screenshot 2026-09-08 at 12.13.23.jpg	Process	Repairing the labelling tool	Diagnosing why captured code was rendering as raw JSON. The cause was a parser splitting source on spaces; the fix is recorded in the commit history.	
Screenshot 2026-09-08 at 18.41.59.jpg	Validation	Before a brief is supplied	lcx-enterprise-core-v2 with no specification loaded. Four metrics report; scope drift returns n/a, because there is nothing to measure the code against.	Paired with the capture below. Reproduced as Figure 4.9.
Screenshot 2026-09-08 at 18.45.24.jpg	Validation	After a brief is supplied	The same project four minutes later, twenty-two lines larger, with a specification loaded. Scope drift now reports 6. The other four metrics are unchanged.	Paired with the capture above. Reproduced as Figure 4.9.
1fbed596-aa52-4d30-b890-3503b7d5b470 2.jpg	Adoption	Installed from PyPI by a third party	A Windows machine belonging to another user installs the published package and reports success. The file tree beside it shows the context discipline described in §5.4: a CLAUDE.md, a context.md and a THE-RULES.md carried alongside the code.	
